DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Minas Gerais
Casos Prováveis por Município de residência e Mês 1º Sintoma(s)
Período:2021
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"310010 ABADIA DOS DOURADOS";-;-;-;1;-;-;-;-;-;-;1;-;2
"310020 ABAETE";1;-;-;1;-;1;-;-;-;-;-;-;3
"310030 ABRE CAMPO";-;-;-;1;-;-;-;-;-;-;-;-;1
"310040 ACAIACA";7;10;6;-;1;-;-;-;-;-;-;-;24
"310050 ACUCENA";-;-;-;1;-;-;-;-;-;-;2;3;6
"310060 AGUA BOA";-;-;1;-;-;-;-;-;-;-;-;-;1
"310080 AGUANIL";-;-;1;1;-;-;-;-;-;-;-;-;2
"310090 AGUAS FORMOSAS";-;-;1;-;2;2;-;2;1;-;1;5;14
"310110 AIMORES";6;4;5;2;1;1;1;1;-;1;-;-;22
"310150 ALEM PARAIBA";-;-;6;24;31;29;3;-;-;-;-;-;93
"310160 ALFENAS";2;3;-;1;-;1;-;2;-;1;1;-;11
"310170 ALMENARA";-;-;1;-;1;1;-;-;1;-;1;-;5
"310180 ALPERCATA";-;-;-;1;1;1;1;-;-;-;-;1;5
"310190 ALPINOPOLIS";3;-;4;1;-;-;-;-;-;1;1;-;10
"310200 ALTEROSA";-;-;-;-;-;-;1;-;-;-;-;-;1
"310220 ALVARENGA";-;-;1;-;-;-;-;-;-;-;1;-;2
"310230 ALVINOPOLIS";1;-;2;-;-;-;-;-;-;-;-;-;3
"310240 ALVORADA DE MINAS";-;-;-;-;-;-;-;-;-;-;-;1;1
"310290 ANTONIO CARLOS";-;-;-;-;1;-;-;-;-;-;-;-;1
"310300 ANTONIO DIAS";-;1;1;-;-;1;-;-;1;-;1;-;5
"310310 ANTONIO PRADO DE MINAS";-;-;-;-;-;-;-;-;-;-;-;1;1
"310320 ARACAI";-;-;1;-;-;-;-;-;-;-;-;-;1
"310340 ARACUAI";14;6;9;6;2;1;-;2;1;2;6;9;58
"310350 ARAGUARI";25;5;11;3;11;3;9;10;3;8;2;13;103
"310375 ARAPORA";5;9;18;8;-;7;1;1;2;4;8;14;77
"310380 ARAPUA";-;-;-;-;-;-;-;-;-;-;-;3;3
"310390 ARAUJOS";3;1;1;3;3;-;1;1;4;1;4;4;26
"310400 ARAXA";1;2;3;6;10;2;-;1;1;-;-;2;28
"310410 ARCEBURGO";-;1;-;-;1;-;1;1;-;1;-;-;5
"310420 ARCOS";2;3;1;6;4;1;1;-;-;-;2;-;20
"310430 AREADO";-;-;-;-;1;-;-;-;-;-;-;-;1
"310440 ARGIRITA";-;-;2;4;4;-;-;-;-;-;-;-;10
"310450 ARINOS";2;2;20;74;110;73;41;12;8;5;3;6;356
"310460 ASTOLFO DUTRA";-;2;5;9;1;2;-;-;-;-;-;-;19
"310480 AUGUSTO DE LIMA";-;-;-;-;-;-;1;-;-;-;-;3;4
"310500 BALDIM";-;-;-;-;-;1;-;-;-;-;-;-;1
"310520 BANDEIRA";-;-;-;-;-;-;-;-;1;-;-;-;1
"310540 BARAO DE COCAIS";2;9;3;2;-;-;-;2;1;-;-;1;20
"310560 BARBACENA";2;2;3;2;1;1;-;-;-;-;2;-;13
"310570 BARRA LONGA";-;-;-;1;-;-;-;-;-;-;-;-;1
"310590 BARROSO";-;-;1;7;9;14;1;-;-;-;-;1;33
"310600 BELA VISTA DE MINAS";-;-;3;-;-;-;-;-;-;-;-;-;3
"310620 BELO HORIZONTE";137;158;198;144;102;50;41;49;55;31;61;39;1065
"310630 BELO ORIENTE";2;14;12;2;4;2;-;-;1;-;3;-;40
"310640 BELO VALE";-;1;-;2;1;-;-;-;-;-;-;1;5
"310650 BERILO";7;23;25;23;13;4;1;-;-;-;-;-;96
"310670 BETIM";43;44;41;18;21;18;19;20;49;28;29;26;356
"310690 BICAS";-;-;-;-;-;-;-;-;1;-;-;-;1
"310710 BOA ESPERANCA";1;-;2;2;4;2;-;-;-;-;-;-;11
"310730 BOCAIUVA";5;2;-;2;-;-;-;-;-;-;-;-;9
"310740 BOM DESPACHO";-;-;3;1;9;1;-;-;1;2;2;3;22
"310770 BOM JESUS DO AMPARO";-;2;1;-;1;-;-;-;-;-;-;-;4
"310780 BOM JESUS DO GALHO";1;-;-;-;-;1;-;1;1;1;-;1;6
"310810 BONFIM";1;3;-;1;-;-;-;1;-;-;-;-;6
"310825 BONITO DE MINAS";-;-;-;1;1;-;-;-;-;-;-;2;4
"310830 BORDA DA MATA";-;-;1;-;1;-;-;-;-;-;-;-;2
"310840 BOTELHOS";-;-;-;1;-;-;-;-;-;1;-;-;2
"310855 BRASILANDIA DE MINAS";1;-;-;3;-;1;-;-;-;1;-;-;6
"310860 BRASILIA DE MINAS";-;-;-;2;-;-;1;-;-;-;4;1;8
"310880 BRAUNAS";-;-;-;2;-;3;-;1;-;-;-;-;6
"310890 BRAZOPOLIS";-;-;-;-;1;-;1;-;-;-;1;-;3
"310900 BRUMADINHO";14;6;8;1;3;3;1;1;3;6;6;5;57
"310920 BUENOPOLIS";2;-;-;-;-;-;-;-;1;-;-;-;3
"310925 BUGRE";-;-;2;-;3;-;-;-;-;1;-;-;6
"310930 BURITIS";5;19;56;87;94;24;9;1;1;-;-;2;298
"310940 BURITIZEIRO";-;3;6;-;-;1;-;-;-;-;-;-;10
"310945 CABECEIRA GRANDE";1;-;1;22;37;31;5;-;-;-;-;1;98
"310960 CACHOEIRA DA PRATA";-;-;1;-;-;-;-;-;-;-;-;-;1
"310970 CACHOEIRA DE MINAS";-;1;1;-;-;-;-;-;-;-;-;-;2
"310980 CACHOEIRA DOURADA";1;1;-;-;1;-;-;-;1;-;-;-;4
"310990 CAETANOPOLIS";-;1;3;1;3;1;-;-;-;-;-;-;9
"311000 CAETE";4;4;1;-;5;2;3;1;-;1;-;-;21
"311050 CAMANDUCAIA";-;-;-;1;-;-;-;-;-;-;-;-;1
"311070 CAMBUQUIRA";-;1;-;-;-;-;-;-;-;-;-;-;1
"311080 CAMPANARIO";-;-;-;-;-;-;-;-;1;-;-;-;1
"311090 CAMPANHA";-;-;-;-;1;-;-;-;-;-;-;-;1
"311110 CAMPINA VERDE";-;2;2;2;12;12;3;1;-;-;-;-;34
"311115 CAMPO AZUL";-;-;1;-;-;-;-;-;-;-;-;-;1
"311120 CAMPO BELO";-;3;1;2;-;-;-;-;-;-;-;-;6
"311140 CAMPO FLORIDO";-;1;1;-;1;-;2;-;-;1;-;-;6
"311150 CAMPOS ALTOS";1;-;-;-;-;2;-;-;-;-;-;-;3
"311190 CANA VERDE";-;2;1;-;-;-;-;-;-;-;-;-;3
"311200 CANDEIAS";3;4;2;-;-;-;-;-;-;-;-;-;9
"311205 CANTAGALO";-;-;-;-;-;-;-;2;-;1;-;-;3
"311230 CAPELINHA";-;1;1;1;-;1;-;-;-;-;-;-;4
"311240 CAPETINGA";5;-;-;-;1;-;-;-;-;-;-;-;6
"311250 CAPIM BRANCO";1;2;1;-;-;1;-;-;-;-;-;-;5
"311260 CAPINOPOLIS";3;7;5;4;4;2;-;1;-;1;-;-;27
"311265 CAPITAO ANDRADE";-;-;2;3;3;-;1;-;-;-;-;-;9
"311270 CAPITAO ENEAS";-;2;7;1;-;-;1;-;-;1;-;-;12
"311280 CAPITOLIO";6;7;10;6;3;1;-;2;-;-;-;14;49
"311300 CARAI";-;1;1;-;1;-;-;-;-;-;-;1;4
